FID,Address,AddressNum,AddressStr,Archived,ChangeXTre,ClearanceC,Code,CommonName,Condition,CriticalRo,CrownLight,Date,DateAdded,DatePlante,DBH,DBHRange,Disease,Family,Frostcrack,FurtherIns,Genus,Girdlingro,GPSX,GPSY,GravelBedG,Haildamage,HardscapeD,HasEcobene,HeightRang,InsectDama,InsectTrap,Inspection,Irrigation,LandUse,LastInspec,LastModifi,LatinName,Missing,NeedsMulch,NeedsPrune,Needswater,NextInspec,Notes,NumberofSt,Observatio,OverheadUt,OwnerName,OwnerPhone,ParkName,PercentDie,PermanentI,Photos,PrimaryID,PrimaryMai,RICTree,Rodentdama,SecondaryM,SiteLocati,Staff,Staked,Status,Suckers,Toomuchwat,TopKilled,TreeProtec,TreeRooted,TreeWalk,TrimmerMow,Trunkwrap,WithinDDAB
0,3204 McComb Avenue,3204,McComb Avenue,No, , , ,Rocky Mountain Glow Maple, ,0.000000000000000,Crown is fully exposed to light., ,6/11/2024, ,2,0-3in, , , ,No,Acer, ,-104.836823999890001,41.145302328584002,No, ,No,No,<15ft, ,No, ,Sprinkler,Park or Other Vacant Land, ,6/11/2024,Acer grandidentatum 'Schmidt', , , , , , ,1, , , , ,Buffalo Soldier, , , ,88841,Plant Tree,No, , ,Park,ellisonm, ,Planting Site - Large, , , ,0.000000000000000, ,No, , ,No
1,1424 Gettysburg Drive,1424,Gettysburg Drive,No, , , , , ,0.000000000000000, , ,6/11/2024, ,0,N/A, , , ,No, , ,-104.745360194490004,41.137415292383999,No, ,No,No,N/A, ,No, , , , ,6/11/2024, , , , , , , ,1, , , , , , , , ,88840, ,No, , , ,ellisonm, ,Planting Site - Large, , , ,0.000000000000000, ,No, , ,No
2,2900 Sunflower Road,2900,Sunflower Road,No, , , ,Redmond Linden, ,0.000000000000000,Crown is fully exposed to light., ,6/7/2024, ,2,0-3in, , , ,No,Tilia, ,-104.776037683200002,41.167772791634000,No, ,No,No,<15ft, ,No, ,Sprinkler,Park or Other Vacant Land, ,6/10/2024,Tilia americana x euchlora Redmond, , , , , , ,1, , , , ,BEAST Recreation Center, , , ,88838, ,No, , ,Tree Lawn,ellisonm, ,Planting Site - Large, , , ,0.000000000000000, ,No, , ,No
3,2900 Sunflower Road,2900,Sunflower Road,No, , ,AEGL,Ohio Buckeye, ,0.000000000000000,Crown is fully exposed to light., ,6/7/2024, ,2,0-3in, , , ,No,Aesculus, ,-104.776087304059999,41.167704141263997,No, ,No,Yes,<15ft, ,No, ,Sprinkler,Park or Other Vacant Land, ,6/10/2024,Aesculus glabra Willd., , , , , , ,1, , , , ,BEAST Recreation Center, , , ,88837, ,No, , ,Tree Lawn,ellisonm, ,Planting Site - Large, , , ,0.000000000000000, ,No, , ,No
4,2900 Sunflower Road,2900,Sunflower Road,No, , ,QUMA1,Bur Oak, ,0.000000000000000,Crown is fully exposed to light., ,6/7/2024, ,2,0-3in, ,Fagaceae, ,No,Quercus, ,-104.776181181379997,41.167565830740998,No, ,No,Yes,<15ft, ,No, ,Sprinkler,Park or Other Vacant Land, ,6/10/2024,Quercus macrocarpa, , , , , , ,1, , , , ,BEAST Recreation Center, , , ,88836, ,No, , ,Tree Lawn,ellisonm, ,Planting Site - Large, , , ,0.000000000000000, ,No, , ,No
5,5328 Greybull Avenue,5328,Greybull Avenue,No, , ,CEOC,Hackberry, ,0.000000000000000,Crown is fully exposed to light., ,6/7/2024, ,2,0-3in, ,Cannabaceae, ,No,Celtis, ,-104.776236166659999,41.167490113177998,No, ,No,Yes,<15ft, ,No, ,Sprinkler,Park or Other Vacant Land, ,6/10/2024,Celtis occidentalis, , , , , , ,1, , , , ,BEAST Recreation Center, , , ,88835, ,No, , ,Tree Lawn,ellisonm, ,Planting Site - Large, , , ,0.000000000000000, ,No, , ,No
6,215 West 8th Avenue,215,West 8th Avenue,No, , ,PIPO,Ponderosa Pine, ,0.000000000000000, , ,6/4/2024, ,0,N/A, ,Pinaceae, ,No,Pinus, ,-104.824784509810002,41.153362564925999,No, ,No,No,N/A, ,No, , , , ,6/4/2024,Pinus ponderosa, , , , , , ,1, , , , , , , , ,88834,Plant Tree,No, , , ,obrienm, ,Planting Site - Large, , , ,0.000000000000000, ,No, , ,No


LA02 EAB trap installed on 5/30/2022",1,,Present / No Colflict,,,United Nations Park,,,,79505,,No,,Pest Problem - Insects,Park,Ellisp,,Alive - Park Tree,,,,0.0,,No,,,No
7,1328 Talbot Court,1328,Talbot Court,No, , , ,Rocky Mountain Glow Maple, ,0.000000000000000,Crown is fully exposed to light., ,6/4/2024, ,2,0-3in, , , ,No,Acer, ,-104.837414233900006,41.141781594805998,No, ,No,No,<15ft, ,No, ,Sprinkler,Park or Other Vacant Land, ,6/11/2024,Acer grandidentatum 'Schmidt', , , , , , ,1, , , , ,Youth Alternatives, , , ,88833,Plant Tree,No, , ,Park,ellisonm, ,Planting Site - Large, , , ,0.000000000000000, ,No, , ,No
8,1100 Snyder Avenue,1100,Snyder Avenue,No, , ,POAC5,Lanceleaf Cottonwood, ,0.000000000000000,Crown is fully exposed to light., ,6/4/2024, ,1,0-3in, ,Salicaceae, ,No,Populus, ,-104.821261248870002,41.126145535356002,No, ,No,Yes,<15ft, ,No, ,None,Park or Other Vacant Land, ,6/5/2024,Populus x acuminata, , , , , , ,1, , , , ,Crow Creek Greenway, , , ,88832,Plant Tree,No, , ,Greenway,ellisonm, ,Planting Site - Large, , , ,0.000000000000000, ,No, , ,No
9,1100 Snyder Avenue,1100,Snyder Avenue,No, , , ,Sargent Straight Plains Cottonwood, ,0.000000000000000,Crown is fully exposed to light.,3/19/2024,6/4/2024, ,1,0-3in, , , ,No,Populus, ,-104.821373901650006,41.126129372076001,No, ,No,No,<15ft, ,No, ,None,Park or Other Vacant Land, ,6/5/2024,"Populus sargentii """"Jeronimus", , , , , , ,1, ,No Lines, , ,Crow Creek Greenway, , , ,88831,Plant Tree,No, , ,Greenway,ellisonm, ,Planting Site - Large, , , ,0.000000000000000, ,No, , ,No
10,1100 Snyder Avenue,1100,Snyder Avenue,No, , ,POAC5,Lanceleaf Cottonwood, ,0.000000000000000,Crown is fully exposed to light., ,6/4/2024, ,1,0-3in, ,Salicaceae, ,No,Populus, ,-104.821513376520002,41.126101086326997,No, ,No,Yes,<15ft, ,No, ,None,Park or Other Vacant Land, ,6/5/2024,Populus x acuminata, , , , , , ,1, , , , ,Crow Creek Greenway, , , ,88830,Plant Tree,No, , ,Greenway,ellisonm, ,Planting Site - Large, , , ,0.000000000000000, ,No, , ,No
11,1100 Snyder Avenue,1100,Snyder Avenue,No, , , ,Sargent Straight Plains Cottonwood, ,0.000000000000000,Crown is fully exposed to light.,3/19/2024,6/4/2024, ,1,0-3in, , , ,No,Populus, ,-104.821710965220007,41.126053629777999,No, ,No,No,<15ft, ,No, ,None,Park or Other Vacant Land, ,6/5/2024,"Populus sargentii """"Jeronimus", , , , , , ,1, ,No Lines, , ,Crow Creek Greenway, , , ,88829,Plant Tree,No, , ,Greenway,ellisonm, ,Planting Site - Large, , , ,0.000000000000000, ,No, , ,No
12,1100 Dillon Avenue,1100,Dillon Avenue,No, , ,POAC5,Lanceleaf Cottonwood, ,0.000000000000000,Crown is fully exposed to light., ,6/4/2024, ,1,0-3in, ,Salicaceae, ,No,Populus, ,-104.821860389929995,41.126039737532999,No, ,No,Yes,<15ft, ,No, ,None,Park or Other Vacant Land, ,6/5/2024,Populus x acuminata, , , , , , ,1, , , , ,Crow Creek Greenway, , , ,88828,Plant Tree,No, , ,Greenway,ellisonm, ,Planting Site - Large, , , ,0.000000000000000, ,No, , ,No

13,2901 Warren Avenue,2901,Warren Avenue,No, , , ,Hot Wings Tatarian Maple,Good - No Apparent Problems,0.000000000000000,Crown is fully exposed to light.,6/11/2024,6/4/2024,6/10/2024,2,0-3in, , , ,No,Acer, ,-104.820817754459995,41.145280881022003,No, ,No,No,<15ft, ,No, ,Sprinkler,Park or Other Vacant Land, ,6/11/2024,Acer tataricum 'GarAnn', , , , , , ,1, ,Present and Conflicting, , ,Pando, , , ,88827, ,No, , ,Park,ellisp, ,Alive - Street Tree, , , ,0.000000000000000, ,No, , ,No
14,901 Martin Esquibel Street,901,Martin Esquibel Street,No, , ,CEOC,Hackberry,Good - No Apparent Problems,0.000000000000000, , ,6/4/2024,6/3/2024,1,0-3in, ,Cannabaceae, ,No,Celtis, ,-104.832068528660002,41.160196363928002,No, ,No,Yes,N/A, ,No, ,Drip, , ,6/4/2024,Celtis occidentalis, , , , , , ,1, , , , ,Lions Park, , , ,88826, ,No, , ,Median / Island,schindlerd, ,Alive - Park Tree, , , ,0.000000000000000, ,No, , ,No
15,4603 Lions Park Drive,4603,Lions Park Drive,No, , ,AEGL,Ohio Buckeye,Good - No Apparent Problems,0.000000000000000, , ,6/4/2024,6/3/2024,2,0-3in, , , ,No,Aesculus, ,-104.831253431489998,41.158914606415003,No, ,No,Yes,N/A, ,No, ,Drip, , ,6/4/2024,Aesculus glabra Willd., , , , , , ,1, , , , ,Lions Park, , , ,88825, ,No, , ,Median / Island,schindlerd, ,Alive - Park Tree, , , ,0.000000000000000, ,No, , ,No
16,4603 Lions Park Drive,4603,Lions Park Drive,No, , , ,Greenspire Linden,Good - No Apparent Problems,0.000000000000000, , ,6/4/2024,6/3/2024,2,0-3in, , , ,No,Tilia, ,-104.831311098979995,41.158865131086003,No, ,No,No,15ft-30ft, ,No, ,Drip, , ,6/4/2024,Tilia cordata 'Greenspire', , , , , , ,1, , , , ,Lions Park, , , ,88824, ,No, , ,Park,schindlerd, ,Alive - Park Tree, , , ,0.000000000000000, ,No, , ,No
17,4605 Lions Park Drive,4605,Lions Park Drive,No, , ,AEGL,Ohio Buckeye,Good - No Apparent Problems,0.000000000000000, , ,6/4/2024,6/3/2024,2,0-3in, , , ,No,Aesculus, ,-104.831579319880007,41.158502647435000,No, ,No,Yes,15ft-30ft, ,No, ,Drip, , ,6/4/2024,Aesculus glabra Willd., , , , , , ,1, , , , ,Lions Park, , , ,88823, ,No, , ,Median / Island,schindlerd, ,Alive - Park Tree, , , ,0.000000000000000, ,No, , ,No
18,1424 Gettysburg Drive,1424,Gettysburg Drive,No, , , ,Redmond Linden, ,0.000000000000000,Crown is fully exposed to light., ,6/3/2024, ,2,0-3in, , , ,No,Tilia, ,-104.745555254899998,41.137377843865998,No, ,No,No,<15ft, ,No, ,Sprinkler,Park or Other Vacant Land, ,6/11/2024,Tilia americana x euchlora Redmond, , , , , , ,1, , , , ,Sun Valley, , , ,88822,Plant Tree,No, , ,Park,ellisonm, ,Planting Site - Large, , , ,0.000000000000000, ,No, , ,No
19,3320 Maxwell Avenue,3320,Maxwell Avenue,No, , ,AEGL,Ohio Buckeye, ,0.000000000000000,Crown is fully exposed to light., ,5/31/2024,6/6/2024,2,0-3in, , , ,No,Aesculus, ,-104.815371102849994,41.148234866499998,No, ,No,Yes,<15ft, ,No, ,Sprinkler,Park or Other Vacant Land, ,6/7/2024,Aesculus glabra Willd., , , , , , ,1, , , , ,Beth El, , , ,88821, ,No, , ,Cemetery,ellisonm, ,Alive - Park Tree, , , ,0.000000000000000, ,No, , ,No
20,2901 Warren Avenue,2901,Warren Avenue,No, , , ,Hot Wings Tatarian Maple,Good - No Apparent Problems,0.000000000000000,Crown is fully exposed to light.,6/10/2024,5/31/2024,6/10/2024,2,0-3in, , , ,No,Acer, ,-104.820769389020001,41.145200122959999,No, ,No,No,<15ft, ,No, ,Sprinkler,Park or Other Vacant Land, ,6/11/2024,Acer tataricum 'GarAnn', , , , , , ,1, ,Present and Conflicting, , ,Pando, , , ,88819, ,No, , ,Park,ellisp, ,Alive - Street Tree, , , ,0.000000000000000, ,No, , ,No
21,2900 Central Avenue,2900,Central Avenue,No, , ,QUMA1,Bur Oak,Good - No Apparent Problems,0.000000000000000,Crown is fully exposed to light.,6/11/2024,5/30/2024,6/10/2024,1,0-3in, ,Fagaceae, ,No,Quercus, ,-104.821726937639994,41.144880990163998,No, ,No,Yes,<15ft, ,No, ,Sprinkler,Park or Other Vacant Land, ,6/11/2024,Quercus macrocarpa, , , , , , ,1, ,No Lines, , ,Pando, , , ,88818, ,No, , ,Tree Lawn,ellisp, ,Alive - Street Tree, , , ,0.000000000000000, ,No, , ,No
22,3024 Capitol Avenue,3024,Capitol Avenue,No, , ,QUMU,Chinkapin Oak,Good - No Apparent Problems,0.000000000000000,Crown is fully exposed to light.,6/11/2024,5/30/2024,6/11/2024,2,0-3in, ,Fagaceae, ,No,Quercus, ,-104.824398701350006,41.145834296095998,No, ,No,Yes,<15ft, ,No, ,Sprinkler,Park or Other Vacant Land, ,6/11/2024,Quercus muehlenbergii, , , , , , ,1, ,No Lines, , ,Activity Center, , , ,88817, ,No, , ,Park,ellisp, ,Alive - Street Tree, , , ,0.000000000000000, ,No, , ,No
